"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"310029","OUR LADY OF LOURDES MEDICAL CENTER","1600 HADDON AVENUE","","","CAMDEN","NJ","08103","CAMDEN","8567573500","100","325","Data submitted were based on a sample of cases/patients","99","89","Data submitted were based on a sample of cases/patients","95","273","Data submitted were based on a sample of cases/patients"
"310031","DEBORAH HEART AND LUNG CENTER","200 TRENTON ROAD","","","BROWNS MILLS","NJ","08015","BURLINGTON","6098936611","100","356","","100","130","","100","299",""
"310032","SOUTH JERSEY HOSPITAL","1505 W SHERMAN AVE","","","VINELAND","NJ","08360","CUMBERLAND","8566418000","100","286","Data submitted were based on a sample of cases/patients","97","88","Data submitted were based on a sample of cases/patients","100","217","Data submitted were based on a sample of cases/patients"
"310034","RIVERVIEW MEDICAL CENTER","ONE RIVERVIEW PLAZA","","","RED BANK","NJ","07701","MONMOUTH","7327412700","100","279","Data submitted were based on a sample of cases/patients","100","44","Data submitted were based on a sample of cases/patients","100","195","Data submitted were based on a sample of cases/patients"
"310038","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL","ONE ROBERT WOOD JOHNSON PL","","","NEW BRUNSWICK","NJ","08901","MIDDLESEX","7329378900","100","1017","","99","295","","98","765",""
"310039","RARITAN BAY MEDICAL CENTER","530 NEW BRUNSWICK AVE","","","PERTH AMBOY","NJ","08861","MIDDLESEX","7324423700","98","462","Data submitted were based on a sample of cases/patients","97","129","Data submitted were based on a sample of cases/patients","97","307","Data submitted were based on a sample of cases/patients"
"310040","CAREPOINT HEALTH-HOBOKEN UMC","308 WILLOW AVE","","","HOBOKEN","NJ","07030","HUDSON","2014181004","100","147","","100","72","","100","110",""
"310041","COMMUNITY MEDICAL CENTER","99 RT 37 WEST","","","TOMS RIVER","NJ","08755","OCEAN","7325578000","100","308","Data submitted were based on a sample of cases/patients","100","75","Data submitted were based on a sample of cases/patients","100","182","Data submitted were based on a sample of cases/patients"
"310044","CAPITAL HEALTH MEDICAL CENTER - HOPEWELL","ONE CAPITAL WAY","","","PENNINGTON","NJ","08534","MERCER","6093034000","100","159","","100","51","","99","136",""
"310045","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","350 ENGLE ST","","","ENGLEWOOD","NJ","07631","BERGEN","2018943000","99","474","","99","140","","96","340",""
"310047","SHORE MEDICAL CENTER","100 MEDICAL CENTER WAY","","","SOMERS POINT","NJ","08244","ATLANTIC","6096533545","100","261","Data submitted were based on a sample of cases/patients","100","60","Data submitted were based on a sample of cases/patients","98","200","Data submitted were based on a sample of cases/patients"
"310048","SOMERSET MEDICAL CENTER","110 REHILL AVE","","","SOMERVILLE","NJ","08876","SOMERSET","9086852200","99","292","Data submitted were based on a sample of cases/patients","94","48","Data submitted were based on a sample of cases/patients","100","186","Data submitted were based on a sample of cases/patients"
"310050","SAINT CLARE'S HOSPITAL","25 POCONO ROAD","","","DENVILLE","NJ","07834","MORRIS","9736256000","99","477","","96","90","","97","317",""
"310051","OVERLOOK HOSPITAL","99 BEAUVIOR AVE","","","SUMMIT","NJ","07902","UNION","9085222000","100","323","Data submitted were based on a sample of cases/patients","96","71","Data submitted were based on a sample of cases/patients","99","239","Data submitted were based on a sample of cases/patients"
"310052","OCEAN MEDICAL CENTER","425 JACK MARTIN BLVD","","","BRICK","NJ","08724","OCEAN","7328402200","99","305","Data submitted were based on a sample of cases/patients","95","58","Data submitted were based on a sample of cases/patients","89","193","Data submitted were based on a sample of cases/patients"
"310054","HACKENSACK-UMC MOUNTAINSIDE","BAY AND HIGHLAND AVE","","","MONTCLAIR","NJ","07042","ESSEX","9734296000","100","290","Data submitted were based on a sample of cases/patients","100","72","Data submitted were based on a sample of cases/patients","100","197","Data submitted were based on a sample of cases/patients"
"310057","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","175 MADISON AVE","","","MOUNT HOLLY","NJ","08060","BURLINGTON","6099146200","100","413","","99","84","","96","291",""
"310058","BERGEN REGIONAL MEDICAL CENTER","230 EAST RIDGEWOOD AVE","","","PARAMUS","NJ","07652","BERGEN","2019674000","91","22","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","54","13","The number of cases/patients is too few to report"
"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","","","PHILLIPSBURG","NJ","08865","WARREN","9088596700","100","205","","100","36","","100","142",""
"310061","LOURDES MEDICAL CENTER OF BURLINGTON COUNTY","218A SUNSET ROAD","","","WILLINGBORO","NJ","08046","BURLINGTON","6098352900","100","217","Data submitted were based on a sample of cases/patients","93","45","Data submitted were based on a sample of cases/patients","100","174","Data submitted were based on a sample of cases/patients"
"310064","ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV","1925 PACIFIC AVE","","","ATLANTIC CITY","NJ","08401","ATLANTIC","6094418020","100","600","Data submitted were based on a sample of cases/patients","100","201","Data submitted were based on a sample of cases/patients","99","477","Data submitted were based on a sample of cases/patients"
"310069","SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL","501 WEST FRONT STREET","","","ELMER","NJ","08318","SALEM","8563631000","98","133","Data submitted were based on a sample of cases/patients","75","40","Data submitted were based on a sample of cases/patients","100","109","Data submitted were based on a sample of cases/patients"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","","","NEW BRUNSWICK","NJ","08901","MIDDLESEX","7327458600","100","309","","100","72","","98","226",""
"310073","JERSEY SHORE UNIVERSITY MEDICAL CENTER","1945 RTE 33","","","NEPTUNE","NJ","07754","MONMOUTH","7327755500","100","314","Data submitted were based on a sample of cases/patients","98","88","Data submitted were based on a sample of cases/patients","100","212","Data submitted were based on a sample of cases/patients"
"310074","LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS","355 GRAND STREET","","","JERSEY CITY","NJ","07302","HUDSON","2019152000","100","333","Data submitted were based on a sample of cases/patients","100","139","Data submitted were based on a sample of cases/patients","100","259","Data submitted were based on a sample of cases/patients"
"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","","","LONG BRANCH","NJ","07740","MONMOUTH","7322225200","100","249","Data submitted were based on a sample of cases/patients","100","47","Data submitted were based on a sample of cases/patients","99","169","Data submitted were based on a sample of cases/patients"
"310076","SAINT BARNABAS MEDICAL CENTER","94 OLD SHORT HILLS ROAD","","","LIVINGSTON","NJ","07039","ESSEX","9733225000","100","321","Data submitted were based on a sample of cases/patients","100","73","Data submitted were based on a sample of cases/patients","100","259","Data submitted were based on a sample of cases/patients"
"310081","UNDERWOOD - MEMORIAL HOSPITAL","509 N BROAD ST","","","WOODBURY","NJ","08096","GLOUCESTER","8568450100","100","401","","100","107","","100","306",""
"310083","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVE","","","EAST ORANGE","NJ","07018","ESSEX","9732664401","88","262","Data submitted were based on a sample of cases/patients","87","67","Data submitted were based on a sample of cases/patients","43","177","Data submitted were based on a sample of cases/patients"
"310084","KIMBALL MEDICAL CENTER","600 RIVER AVE","","","LAKEWOOD","NJ","08701","OCEAN","7323631900","100","310","","98","66","","100","183",""
"310086","KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","18 EAST LAUREL ROAD","","","STRATFORD","NJ","08084","CAMDEN","8563466000","100","843","","94","163","","95","655",""
"310091","MEMORIAL HOSPITAL OF SALEM COUNTY","310 WOODSTOWN ROAD","","","SALEM","NJ","08079","SALEM","8569351000","100","148","Data submitted were based on a sample of cases/patients","100","55","Data submitted were based on a sample of cases/patients","99","118","Data submitted were based on a sample of cases/patients"
"310092","CAPITAL HEALTH SYSTEM-FULD CAMPUS","750 BRUNSWICK AVE","","","TRENTON","NJ","08638","MERCER","6093946000","99","182","","100","68","","95","148",""
"310096","SAINT MICHAEL'S MEDICAL CENTER, INC","111 CENTRAL AVENUE","","","NEWARK","NJ","07102","ESSEX","9738775350","98","329","Data submitted were based on a sample of cases/patients","91","139","Data submitted were based on a sample of cases/patients","97","260","Data submitted were based on a sample of cases/patients"
"310108","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","65 JAMES STREET","","","EDISON","NJ","08818","MIDDLESEX","7323217000","100","527","","98","119","","90","343",""
"310110","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON","ONE HAMILTON HEALTH PLACE","","","HAMILTON","NJ","08690","MERCER","6095867900","100","356","","96","70","","77","265",""
"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","","","FREEHOLD","NJ","07728","MONMOUTH","7324312000","100","326","","100","78","","99","214",""
"310112","BAYSHORE COMMUNITY HOSPITAL","727 N BEERS ST","","","HOLMDEL","NJ","07733","MONMOUTH","7327395900","100","233","","100","40","","99","143",""
"310113","SOUTHERN OCEAN MEDICAL CENTER","1140 RT 72 W","","","MANAHAWKIN","NJ","08050","OCEAN","6095976011","100","254","","91","56","","90","171",""
"310115","HACKETTSTOWN REGIONAL MEDICAL CENTER","651 WILLOW GROVE ST","","","HACKETTSTOWN","NJ","07840","WARREN","9088525100","100","158","","100","27","","100","97",""
"310118","MEADOWLANDS HOSPITAL MEDICAL CENTER","55 MEADOWLANDS PKWY","","","SECAUCUS","NJ","07094","HUDSON","2013923100","97","67","","94","16","The number of cases/patients is too few to report","100","62",""
"310119","UNIVERSITY HOSPITAL","150 BERGEN ST","","","NEWARK","NJ","07103","ESSEX","9739725658","100","327","","100","209","","100","283",""
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","","","ALBUQUERQUE","NM","87106","BERNALILLO","5052722111","100","273","Data submitted were based on a sample of cases/patients","98","126","Data submitted were based on a sample of cases/patients","93","244","Data submitted were based on a sample of cases/patients"
"320002","ST VINCENT HOSPITAL","455 ST MICHAEL'S DRIVE","","","SANTA FE","NM","87505","SANTA FE","5059833361","99","171","","92","76","","93","161",""
"320003","ALTA VISTA REGIONAL HOSPITAL","104 LEGION DRIVE","","","LAS VEGAS","NM","87701","SAN MIGUEL","5054263930","100","66","Data submitted were based on a sample of cases/patients","100","12","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","86","57","Data submitted were based on a sample of cases/patients"
