"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"IL","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14175 - 21011","475"
"IN","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13568 - 15133","351"
"KS","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","12656 - 14441","170"
"KY","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14129 - 15655","260"
"LA","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13400 - 15218","276"
"MA","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","16574 - 21082","232"
"MD","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14602 - 35515","377"
"ME","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15641 - 16303","51"
"MI","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14723 - 17695","640"
"MN","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15206 - 17822","215"
"MO","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13314 - 15633","511"
"MS","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13707 - 15181","188"
"MT","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13441 - 14316","69"
"NC","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14312 - 17461","643"
"ND","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","12340 - 13155","22"
"NE","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13398 - 14646","104"
"NH","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15505 - 21320","34"
"NJ","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15685 - 19214","134"
"NM","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15209 - 17200","33"
"NV","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15378 - 17080","130"
"NY","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15787 - 23511","515"
"OH","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14074 - 17409","667"
"OK","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","12509 - 15845","262"
"OR","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15449 - 16054","167"
"PA","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14318 - 18129","484"
"PR","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","8488","16"
"RI","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14792 - 20259","27"
"SC","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13598 - 15370","326"
"SD","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","12843 - 14357","74"
"TN","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13599 - 15571","573"
"TX","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13498 - 16021","1175"
"UT","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14383 - 19529","72"
"VA","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13271 - 16433","417"
"VT","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","16190 - 20576","20"
"WA","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15620 - 17993","240"
"WI","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13835 - 17330","222"
"WV","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","12773 - 18643","80"
"WY","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13811 - 14614","26"
"AK","520","Neck Fusion to Join Neck Bones","12489 - 14167","23"
"AL","520","Neck Fusion to Join Neck Bones","8710 - 9572","700"
"AR","520","Neck Fusion to Join Neck Bones","8815 - 10346","332"
"AZ","520","Neck Fusion to Join Neck Bones","10099 - 13915","204"
"CA","520","Neck Fusion to Join Neck Bones","11455 - 14059","1205"
"CO","520","Neck Fusion to Join Neck Bones","9773 - 11207","233"
"CT","520","Neck Fusion to Join Neck Bones","11332 - 13596","187"
"DC","520","Neck Fusion to Join Neck Bones","13040 - 13688","48"
"DE","520","Neck Fusion to Join Neck Bones","11520 - 11623","71"
"FL","520","Neck Fusion to Join Neck Bones","9069 - 10171","1435"
"GA","520","Neck Fusion to Join Neck Bones","9564 - 11814","764"
"HI","520","Neck Fusion to Join Neck Bones","11819 - 13298","24"
"IA","520","Neck Fusion to Join Neck Bones","8746 - 9690","141"
"ID","520","Neck Fusion to Join Neck Bones","9566 - 10204","198"
"IL","520","Neck Fusion to Join Neck Bones","9783 - 12806","452"
"IN","520","Neck Fusion to Join Neck Bones","9370 - 10205","371"
"KS","520","Neck Fusion to Join Neck Bones","8740 - 9973","159"
"KY","520","Neck Fusion to Join Neck Bones","9739 - 10692","319"
"LA","520","Neck Fusion to Join Neck Bones","8894 - 10327","408"
"MA","520","Neck Fusion to Join Neck Bones","11356 - 14212","259"
"MD","520","Neck Fusion to Join Neck Bones","12133 - 23290","307"
"ME","520","Neck Fusion to Join Neck Bones","10802 - 11259","63"
"MI","520","Neck Fusion to Join Neck Bones","10074 - 12190","839"
"MN","520","Neck Fusion to Join Neck Bones","10501 - 10685","208"
"MO","520","Neck Fusion to Join Neck Bones","9186 - 10254","540"
"MS","520","Neck Fusion to Join Neck Bones","9532 - 10168","330"
"MT","520","Neck Fusion to Join Neck Bones","8994 - 9881","92"
"NC","520","Neck Fusion to Join Neck Bones","9832 - 12059","709"
"ND","520","Neck Fusion to Join Neck Bones","8522 - 9115","39"
"NE","520","Neck Fusion to Join Neck Bones","9161 - 10189","122"
"NH","520","Neck Fusion to Join Neck Bones","10686 - 14724","49"
"NJ","520","Neck Fusion to Join Neck Bones","10782 - 13537","178"
"NM","520","Neck Fusion to Join Neck Bones","9792 - 11602","66"
"NV","520","Neck Fusion to Join Neck Bones","10689 - 11972","235"
"NY","520","Neck Fusion to Join Neck Bones","10269 - 15868","542"
"OH","520","Neck Fusion to Join Neck Bones","9576 - 11299","663"
"OK","520","Neck Fusion to Join Neck Bones","8639 - 10848","392"
"OR","520","Neck Fusion to Join Neck Bones","10612 - 11041","296"
"PA","520","Neck Fusion to Join Neck Bones","9889 - 11396","529"
"PR","520","Neck Fusion to Join Neck Bones","5862 - 5923","31"
"RI","520","Neck Fusion to Join Neck Bones","10220 - 13992","46"
"SC","520","Neck Fusion to Join Neck Bones","9330 - 10564","486"
"SD","520","Neck Fusion to Join Neck Bones","8870 - 9850","98"
"TN","520","Neck Fusion to Join Neck Bones","9226 - 10561","671"
"TX","520","Neck Fusion to Join Neck Bones","9302 - 10846","1616"
"UT","520","Neck Fusion to Join Neck Bones","9738 - 10798","186"
"VA","520","Neck Fusion to Join Neck Bones","9165 - 11349","525"
"VT","520","Neck Fusion to Join Neck Bones","14210","23"
"WA","520","Neck Fusion to Join Neck Bones","10763 - 11855","319"
"WI","520","Neck Fusion to Join Neck Bones","9518 - 13476","196"
"WV","520","Neck Fusion to Join Neck Bones","8828 - 12874","87"
"WY","520","Neck Fusion to Join Neck Bones","9463 - 10093","31"
"AK","534","Head and Neck Blood Vessel Operations","7055 - 7671","27"
"AL","534","Head and Neck Blood Vessel Operations","4937 - 5408","681"
"AR","534","Head and Neck Blood Vessel Operations","5157 - 5663","553"
"AZ","534","Head and Neck Blood Vessel Operations","5353 - 6159","503"
"CA","534","Head and Neck Blood Vessel Operations","6195 - 7594","1979"
"CO","534","Head and Neck Blood Vessel Operations","5521 - 6029","315"
"CT","534","Head and Neck Blood Vessel Operations","6406 - 7671","375"
"DC","534","Head and Neck Blood Vessel Operations","7367 - 8175","59"
"DE","534","Head and Neck Blood Vessel Operations","5548 - 6567","112"
"FL","534","Head and Neck Blood Vessel Operations","5125 - 5530","2729"
"GA","534","Head and Neck Blood Vessel Operations","5245 - 6325","932"
"HI","534","Head and Neck Blood Vessel Operations","6427 - 9320","23"
"IA","534","Head and Neck Blood Vessel Operations","5131 - 5449","485"
"ID","534","Head and Neck Blood Vessel Operations","5507 - 5769","127"
"IL","534","Head and Neck Blood Vessel Operations","5373 - 6144","1083"
"IN","534","Head and Neck Blood Vessel Operations","5224 - 5780","877"
"KS","534","Head and Neck Blood Vessel Operations","4938 - 5629","492"
"KY","534","Head and Neck Blood Vessel Operations","5391 - 6015","509"
"LA","534","Head and Neck Blood Vessel Operations","4986 - 5694","587"
"MA","534","Head and Neck Blood Vessel Operations","6328 - 7990","590"
"MD","534","Head and Neck Blood Vessel Operations","4911 - 7994","480"
"ME","534","Head and Neck Blood Vessel Operations","5894 - 6361","195"
"MI","534","Head and Neck Blood Vessel Operations","5685 - 6634","1472"
"MN","534","Head and Neck Blood Vessel Operations","5782 - 6081","369"
"MO","534","Head and Neck Blood Vessel Operations","5080 - 5878","766"
"MS","534","Head and Neck Blood Vessel Operations","5261 - 5773","511"
"MT","534","Head and Neck Blood Vessel Operations","5319 - 5374","179"
"NC","534","Head and Neck Blood Vessel Operations","5508 - 6533","1000"
"ND","534","Head and Neck Blood Vessel Operations","4896 - 5496","157"
"NE","534","Head and Neck Blood Vessel Operations","5251 - 5715","250"
"NH","534","Head and Neck Blood Vessel Operations","5930 - 8319","190"
"NJ","534","Head and Neck Blood Vessel Operations","6131 - 7307","896"
"NM","534","Head and Neck Blood Vessel Operations","5455 - 6126","106"
"NV","534","Head and Neck Blood Vessel Operations","5859 - 6586","198"
"NY","534","Head and Neck Blood Vessel Operations","5657 - 8011","1571"
"OH","534","Head and Neck Blood Vessel Operations","5201 - 5882","1415"
"OK","534","Head and Neck Blood Vessel Operations","4881 - 5955","493"
"OR","534","Head and Neck Blood Vessel Operations","5973 - 6147","397"
"PA","534","Head and Neck Blood Vessel Operations","5341 - 6208","1118"
"PR","534","Head and Neck Blood Vessel Operations","3199 - 3372","47"
"RI","534","Head and Neck Blood Vessel Operations","5955 - 7905","101"
"SC","534","Head and Neck Blood Vessel Operations","5240 - 5912","671"
"SD","534","Head and Neck Blood Vessel Operations","5049 - 5565","168"
"TN","534","Head and Neck Blood Vessel Operations","5306 - 5927","959"
"TX","534","Head and Neck Blood Vessel Operations","5278 - 5988","2763"
"UT","534","Head and Neck Blood Vessel Operations","5582 - 5864","94"
"VA","534","Head and Neck Blood Vessel Operations","5201 - 5860","728"
"VT","534","Head and Neck Blood Vessel Operations","8029","38"
"WA","534","Head and Neck Blood Vessel Operations","6012 - 6610","556"
"WI","534","Head and Neck Blood Vessel Operations","5397 - 6097","724"
"WV","534","Head and Neck Blood Vessel Operations","4980 - 5769","339"
"WY","534","Head and Neck Blood Vessel Operations","5695 - 5702","49"
"AK","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","50954 - 53541","*"
"AL","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","32743 - 36847","129"
"AR","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","34650 - 37072","105"
"AZ","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","35506 - 44715","151"
"CA","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","42893 - 58457","383"
"CO","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","37441 - 43686","66"
"CT","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","49194 - 51106","81"
"DC","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","48371 - 50282","70"
"DE","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","43303 - 43691","27"
"FL","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","34943 - 41550","630"
"GA","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","34899 - 44538","154"
"HI","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","45433 - 49989","12"
"IA","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","34788 - 37084","79"
"ID","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","35961 - 38449","15"
"IL","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","37919 - 45387","278"
"IN","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","34859 - 40724","190"
"KS","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","33691 - 37491","76"
"KY","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","36890 - 40680","125"
"LA","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","34201 - 38064","92"
"MA","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","48439 - 54543","100"
"MD","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","38359 - 60127","136"
"ME","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","40607 - 42495","35"
"MI","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","39948 - 46592","256"
"MN","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","39476 - 46268","119"
"MO","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","33720 - 40852","169"
"MS","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","33927 - 39403","92"
"MT","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","35445 - 41554","24"
"NC","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","37415 - 47430","224"
"ND","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","33527 - 38516","32"
"NE","536","Insertion of Heart Defibrillator with Examination of Heart through a Catheter","35479 - 50530","45"
