Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"ESSENTIA HEALTH ST MARYS","240101","MN","READM-30-HF-HRRP","40","","0.9508","19.2","20.2","Too Few To Report","07/01/2009","06/30/2012"
"ESSENTIA HEALTH ST MARYS","240101","MN","READM-30-PN-HRRP","99","","0.9239","14.4","15.6","Too Few To Report","07/01/2009","06/30/2012"
"ST FRANCIS REGIONAL MEDICAL CENTER","240104","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ST FRANCIS REGIONAL MEDICAL CENTER","240104","MN","READM-30-HF-HRRP","106","","1.0464","23.1","22.1","27","07/01/2009","06/30/2012"
"ST FRANCIS REGIONAL MEDICAL CENTER","240104","MN","READM-30-PN-HRRP","137","","0.9652","16.0","16.6","20","07/01/2009","06/30/2012"
"REGIONS HOSPITAL","240106","MN","READM-30-AMI-HRRP","246","","0.8725","13.0","14.9","26","07/01/2009","06/30/2012"
"REGIONS HOSPITAL","240106","MN","READM-30-HF-HRRP","252","","1.0117","22.8","22.5","58","07/01/2009","06/30/2012"
"REGIONS HOSPITAL","240106","MN","READM-30-PN-HRRP","130","","0.8995","15.3","17.0","14","07/01/2009","06/30/2012"
"MERCY HOSPITAL","240115","MN","READM-30-AMI-HRRP","201","","1.0875","17.0","15.6","38","07/01/2009","06/30/2012"
"MERCY HOSPITAL","240115","MN","READM-30-HF-HRRP","371","","0.9215","20.6","22.4","72","07/01/2009","06/30/2012"
"MERCY HOSPITAL","240115","MN","READM-30-PN-HRRP","214","","0.9043","16.2","17.9","29","07/01/2009","06/30/2012"
"UNITY HOSPITAL","240132","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"UNITY HOSPITAL","240132","MN","READM-30-HF-HRRP","196","","0.9900","21.7","21.9","42","07/01/2009","06/30/2012"
"UNITY HOSPITAL","240132","MN","READM-30-PN-HRRP","170","","1.0849","17.9","16.5","35","07/01/2009","06/30/2012"
"FAIRVIEW NORTHLAND REGIONAL HOSPITAL","240141","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FAIRVIEW NORTHLAND REGIONAL HOSPITAL","240141","MN","READM-30-HF-HRRP","52","","0.9723","20.2","20.8","Too Few To Report","07/01/2009","06/30/2012"
"FAIRVIEW NORTHLAND REGIONAL HOSPITAL","240141","MN","READM-30-PN-HRRP","62","","0.8995","14.0","15.6","Too Few To Report","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - FAIRMONT","240166","MN","READM-30-AMI-HRRP","26","","0.9597","19.0","19.8","Too Few To Report","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - FAIRMONT","240166","MN","READM-30-HF-HRRP","154","","1.2452","26.5","21.3","53","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - FAIRMONT","240166","MN","READM-30-PN-HRRP","187","","1.0556","15.5","14.7","32","07/01/2009","06/30/2012"
"HUTCHINSON HEALTH","240187","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HUTCHINSON HEALTH","240187","MN","READM-30-HF-HRRP","72","","1.0335","21.1","20.5","17","07/01/2009","06/30/2012"
"HUTCHINSON HEALTH","240187","MN","READM-30-PN-HRRP","83","","0.9202","15.1","16.4","Too Few To Report","07/01/2009","06/30/2012"
"PHILLIPS EYE INSTITUTE","240196","MN","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PHILLIPS EYE INSTITUTE","240196","MN","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PHILLIPS EYE INSTITUTE","240196","MN","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"RED LAKE HOSPITAL","240206","MN","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"RED LAKE HOSPITAL","240206","MN","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"RED LAKE HOSPITAL","240206","MN","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FAIRVIEW RIDGES HOSPITAL","240207","MN","READM-30-AMI-HRRP","56","","0.9833","15.6","15.9","Too Few To Report","07/01/2009","06/30/2012"
"FAIRVIEW RIDGES HOSPITAL","240207","MN","READM-30-HF-HRRP","235","","1.0936","24.3","22.2","62","07/01/2009","06/30/2012"
"FAIRVIEW RIDGES HOSPITAL","240207","MN","READM-30-PN-HRRP","182","","1.0894","17.7","16.2","37","07/01/2009","06/30/2012"
"HEALTHEAST ST JOHN'S HOSPITAL","240210","MN","READM-30-AMI-HRRP","57","","1.0392","21.3","20.5","14","07/01/2009","06/30/2012"
"HEALTHEAST ST JOHN'S HOSPITAL","240210","MN","READM-30-HF-HRRP","248","","1.0242","22.1","21.5","56","07/01/2009","06/30/2012"
"HEALTHEAST ST JOHN'S HOSPITAL","240210","MN","READM-30-PN-HRRP","250","","1.0273","16.2","15.8","42","07/01/2009","06/30/2012"
"HEALTHEAST WOODWINDS HOSPITAL","240213","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HEALTHEAST WOODWINDS HOSPITAL","240213","MN","READM-30-HF-HRRP","130","","0.9471","19.9","21.0","23","07/01/2009","06/30/2012"
"HEALTHEAST WOODWINDS HOSPITAL","240213","MN","READM-30-PN-HRRP","124","","1.0216","16.8","16.4","22","07/01/2009","06/30/2012"
"MAPLE GROVE HOSPITAL","240214","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MAPLE GROVE HOSPITAL","240214","MN","READM-30-HF-HRRP","43","","0.9991","21.0","21.1","Too Few To Report","07/01/2009","06/30/2012"
"MAPLE GROVE HOSPITAL","240214","MN","READM-30-PN-HRRP","44","","1.0126","14.4","14.2","Too Few To Report","07/01/2009","06/30/2012"
"UNIVERSITY OF MISSISSIPPI MED CENTER","250001","MS","READM-30-AMI-HRRP","267","","0.9931","15.8","16.0","42","07/01/2009","06/30/2012"
"UNIVERSITY OF MISSISSIPPI MED CENTER","250001","MS","READM-30-HF-HRRP","274","","0.9511","20.0","21.0","52","07/01/2009","06/30/2012"
"UNIVERSITY OF MISSISSIPPI MED CENTER","250001","MS","READM-30-PN-HRRP","146","","0.8926","16.0","17.9","17","07/01/2009","06/30/2012"
"TISHOMINGO HEALTH SERVICES INC","250002","MS","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TISHOMINGO HEALTH SERVICES INC","250002","MS","READM-30-HF-HRRP","80","","0.9742","21.8","22.4","16","07/01/2009","06/30/2012"
"TISHOMINGO HEALTH SERVICES INC","250002","MS","READM-30-PN-HRRP","148","","0.9376","15.9","17.0","20","07/01/2009","06/30/2012"
"NORTH MISSISSIPPI MEDICAL CENTER","250004","MS","READM-30-AMI-HRRP","734","","0.9827","15.5","15.8","113","07/01/2009","06/30/2012"
"NORTH MISSISSIPPI MEDICAL CENTER","250004","MS","READM-30-HF-HRRP","1026","","0.9316","19.7","21.1","198","07/01/2009","06/30/2012"
"NORTH MISSISSIPPI MEDICAL CENTER","250004","MS","READM-30-PN-HRRP","789","","1.1071","18.0","16.3","148","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL UNION COUNTY","250006","MS","READM-30-AMI-HRRP","27","","0.9918","23.8","24.0","Too Few To Report","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL UNION COUNTY","250006","MS","READM-30-HF-HRRP","162","","1.0246","20.8","20.3","35","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL UNION COUNTY","250006","MS","READM-30-PN-HRRP","174","","0.9963","15.6","15.7","27","07/01/2009","06/30/2012"
"BILOXI REGIONAL MEDICAL CENTER","250007","MS","READM-30-AMI-HRRP","28","","1.0008","21.3","21.3","Too Few To Report","07/01/2009","06/30/2012"
"BILOXI REGIONAL MEDICAL CENTER","250007","MS","READM-30-HF-HRRP","280","","1.1667","26.2","22.4","82","07/01/2009","06/30/2012"
"BILOXI REGIONAL MEDICAL CENTER","250007","MS","READM-30-PN-HRRP","188","","1.0265","16.8","16.3","33","07/01/2009","06/30/2012"
"MAGNOLIA REGIONAL HEALTH CENTER","250009","MS","READM-30-AMI-HRRP","306","","0.9673","15.9","16.4","47","07/01/2009","06/30/2012"
"MAGNOLIA REGIONAL HEALTH CENTER","250009","MS","READM-30-HF-HRRP","539","","1.1113","25.4","22.9","143","07/01/2009","06/30/2012"
"MAGNOLIA REGIONAL HEALTH CENTER","250009","MS","READM-30-PN-HRRP","480","","1.1411","21.3","18.7","110","07/01/2009","06/30/2012"
"TIPPAH COUNTY HOSPITAL","250010","MS","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TIPPAH COUNTY HOSPITAL","250010","MS","READM-30-HF-HRRP","108","","1.0516","21.6","20.5","26","07/01/2009","06/30/2012"
"TIPPAH COUNTY HOSPITAL","250010","MS","READM-30-PN-HRRP","152","","1.0817","16.9","15.6","30","07/01/2009","06/30/2012"
"ALLIANCE HEALTHCARE SYSTEM","250012","MS","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ALLIANCE HEALTHCARE SYSTEM","250012","MS","READM-30-HF-HRRP","68","","1.0253","21.5","21.0","16","07/01/2009","06/30/2012"
"ALLIANCE HEALTHCARE SYSTEM","250012","MS","READM-30-PN-HRRP","68","","1.0656","16.9","15.9","15","07/01/2009","06/30/2012"
"HOWARD COUNTY GENERAL HOSPITAL","210048","MD","READM-30-PN-HRRP","671","","1.1293","20.1","17.8","142","07/01/2009","06/30/2012"
"UPPER CHESAPEAKE MEDICAL CENTER","210049","MD","READM-30-AMI-HRRP","235","","1.1644","23.6","20.2","63","07/01/2009","06/30/2012"
"UPPER CHESAPEAKE MEDICAL CENTER","210049","MD","READM-30-HF-HRRP","792","","1.0415","24.7","23.7","198","07/01/2009","06/30/2012"
"UPPER CHESAPEAKE MEDICAL CENTER","210049","MD","READM-30-PN-HRRP","384","","1.0053","18.4","18.3","71","07/01/2009","06/30/2012"
"DOCTORS'  COMMUNITY HOSPITAL","210051","MD","READM-30-AMI-HRRP","39","","1.0596","23.2","21.9","12","07/01/2009","06/30/2012"
"DOCTORS'  COMMUNITY HOSPITAL","210051","MD","READM-30-HF-HRRP","489","","1.0621","24.3","22.8","122","07/01/2009","06/30/2012"
"DOCTORS'  COMMUNITY HOSPITAL","210051","MD","READM-30-PN-HRRP","365","","1.3001","22.1","17.0","96","07/01/2009","06/30/2012"
"LAUREL REGIONAL MEDICAL CENTER","210055","MD","READM-30-AMI-HRRP","39","","1.0751","26.2","24.4","14","07/01/2009","06/30/2012"
"LAUREL REGIONAL MEDICAL CENTER","210055","MD","READM-30-HF-HRRP","186","","1.0042","23.0","22.9","43","07/01/2009","06/30/2012"
"LAUREL REGIONAL MEDICAL CENTER","210055","MD","READM-30-PN-HRRP","108","","1.0100","17.1","16.9","19","07/01/2009","06/30/2012"
"MEDSTAR GOOD SAMARITAN HOSPITAL","210056","MD","READM-30-AMI-HRRP","155","","1.1512","26.2","22.8","48","07/01/2009","06/30/2012"
"MEDSTAR GOOD SAMARITAN HOSPITAL","210056","MD","READM-30-HF-HRRP","1077","","1.0273","26.6","25.9","288","07/01/2009","06/30/2012"
"MEDSTAR GOOD SAMARITAN HOSPITAL","210056","MD","READM-30-PN-HRRP","333","","1.2357","23.8","19.3","92","07/01/2009","06/30/2012"
"SHADY GROVE ADVENTIST HOSPITAL","210057","MD","READM-30-AMI-HRRP","172","","1.0285","19.0","18.5","34","07/01/2009","06/30/2012"
"SHADY GROVE ADVENTIST HOSPITAL","210057","MD","READM-30-HF-HRRP","513","","1.1259","27.1","24.1","146","07/01/2009","06/30/2012"
"SHADY GROVE ADVENTIST HOSPITAL","210057","MD","READM-30-PN-HRRP","642","","1.0926","18.7","17.1","125","07/01/2009","06/30/2012"
"UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE","210058","MD","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE","210058","MD","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE","210058","MD","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FORT WASHINGTON HOSPITAL","210060","MD","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FORT WASHINGTON HOSPITAL","210060","MD","READM-30-HF-HRRP","189","","1.0884","23.5","21.6","49","07/01/2009","06/30/2012"
"FORT WASHINGTON HOSPITAL","210060","MD","READM-30-PN-HRRP","96","","1.0987","18.3","16.7","23","07/01/2009","06/30/2012"
"ATLANTIC GENERAL HOSPITAL","210061","MD","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ATLANTIC GENERAL HOSPITAL","210061","MD","READM-30-HF-HRRP","304","","0.9299","21.7","23.4","62","07/01/2009","06/30/2012"
"ATLANTIC GENERAL HOSPITAL","210061","MD","READM-30-PN-HRRP","264","","1.0475","18.7","17.8","52","07/01/2009","06/30/2012"
"MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER","210062","MD","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER","210062","MD","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER","210062","MD","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER","210063","MD","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER","210063","MD","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER","210063","MD","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HEALTHALLIANCE HOSPITALS, INC","220001","MA","READM-30-AMI-HRRP","62","","1.0272","22.0","21.5","15","07/01/2009","06/30/2012"
"HEALTHALLIANCE HOSPITALS, INC","220001","MA","READM-30-HF-HRRP","238","","1.1213","25.8","23.1","68","07/01/2009","06/30/2012"
"HEALTHALLIANCE HOSPITALS, INC","220001","MA","READM-30-PN-HRRP","257","","0.9625","17.2","17.9","42","07/01/2009","06/30/2012"
"MOUNT AUBURN HOSPITAL","220002","MA","READM-30-AMI-HRRP","237","","1.0300","18.8","18.3","46","07/01/2009","06/30/2012"
"MOUNT AUBURN HOSPITAL","220002","MA","READM-30-HF-HRRP","527","","1.0194","22.4","22.0","119","07/01/2009","06/30/2012"
"MOUNT AUBURN HOSPITAL","220002","MA","READM-30-PN-HRRP","531","","0.9199","15.6","16.9","78","07/01/2009","06/30/2012"
"STURDY MEMORIAL HOSPITAL","220008","MA","READM-30-AMI-HRRP","61","","0.9893","20.5","20.7","12","07/01/2009","06/30/2012"
"STURDY MEMORIAL HOSPITAL","220008","MA","READM-30-HF-HRRP","401","","0.9458","21.2","22.4","82","07/01/2009","06/30/2012"
"STURDY MEMORIAL HOSPITAL","220008","MA","READM-30-PN-HRRP","539","","1.0475","17.5","16.7","97","07/01/2009","06/30/2012"
"LAWRENCE GENERAL HOSPITAL","220010","MA","READM-30-AMI-HRRP","132","","0.9819","19.6","20.0","25","07/01/2009","06/30/2012"
"LAWRENCE GENERAL HOSPITAL","220010","MA","READM-30-HF-HRRP","622","","1.0722","24.8","23.1","158","07/01/2009","06/30/2012"
"LAWRENCE GENERAL HOSPITAL","220010","MA","READM-30-PN-HRRP","452","","1.0050","16.8","16.7","76","07/01/2009","06/30/2012"
"CAMBRIDGE HEALTH ALLIANCE","220011","MA","READM-30-AMI-HRRP","79","","0.8967","18.0","20.1","Too Few To Report","07/01/2009","06/30/2012"
"CAMBRIDGE HEALTH ALLIANCE","220011","MA","READM-30-HF-HRRP","333","","1.0593","24.9","23.5","86","07/01/2009","06/30/2012"
"CAMBRIDGE HEALTH ALLIANCE","220011","MA","READM-30-PN-HRRP","349","","1.0367","18.3","17.7","66","07/01/2009","06/30/2012"
"CAPE COD HOSPITAL","220012","MA","READM-30-AMI-HRRP","721","","1.0581","18.2","17.2","134","07/01/2009","06/30/2012"
"CAPE COD HOSPITAL","220012","MA","READM-30-HF-HRRP","1068","","0.9307","19.6","21.1","206","07/01/2009","06/30/2012"
"CAPE COD HOSPITAL","220012","MA","READM-30-PN-HRRP","573","","0.9261","14.5","15.7","79","07/01/2009","06/30/2012"
"COOLEY DICKINSON HOSPITAL INC,THE","220015","MA","READM-30-AMI-HRRP","94","","1.1106","22.2","20.0","26","07/01/2009","06/30/2012"
"COOLEY DICKINSON HOSPITAL INC,THE","220015","MA","READM-30-HF-HRRP","399","","0.9741","21.4","22.0","84","07/01/2009","06/30/2012"
"COOLEY DICKINSON HOSPITAL INC,THE","220015","MA","READM-30-PN-HRRP","438","","0.9753","15.8","16.2","68","07/01/2009","06/30/2012"
"BAYSTATE FRANKLIN MEDICAL CENTER","220016","MA","READM-30-AMI-HRRP","44","","1.1177","20.0","17.9","14","07/01/2009","06/30/2012"
"BAYSTATE FRANKLIN MEDICAL CENTER","220016","MA","READM-30-HF-HRRP","225","","0.9379","20.2","21.5","42","07/01/2009","06/30/2012"
"BAYSTATE FRANKLIN MEDICAL CENTER","220016","MA","READM-30-PN-HRRP","272","","0.9157","15.0","16.4","36","07/01/2009","06/30/2012"
"CARNEY HOSPITAL","220017","MA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CARNEY HOSPITAL","220017","MA","READM-30-HF-HRRP","233","","1.1117","25.7","23.2","66","07/01/2009","06/30/2012"
"CARNEY HOSPITAL","220017","MA","READM-30-PN-HRRP","154","","1.0796","18.0","16.7","32","07/01/2009","06/30/2012"
"HARRINGTON MEMORIAL HOSPITAL","220019","MA","READM-30-AMI-HRRP","51","","0.9238","17.1","18.5","Too Few To Report","07/01/2009","06/30/2012"
"HARRINGTON MEMORIAL HOSPITAL","220019","MA","READM-30-HF-HRRP","207","","1.1310","24.7","21.8","58","07/01/2009","06/30/2012"
"HARRINGTON MEMORIAL HOSPITAL","220019","MA","READM-30-PN-HRRP","222","","0.9950","16.3","16.4","36","07/01/2009","06/30/2012"
"SAINT ANNE'S HOSPITAL","220020","MA","READM-30-AMI-HRRP","57","","1.0449","22.5","21.5","15","07/01/2009","06/30/2012"
"SAINT ANNE'S HOSPITAL","220020","MA","READM-30-HF-HRRP","275","","0.9732","21.6","22.2","58","07/01/2009","06/30/2012"
"SAINT ANNE'S HOSPITAL","220020","MA","READM-30-PN-HRRP","298","","1.2136","21.7","17.9","76","07/01/2009","06/30/2012"
"HOLYOKE MEDICAL CENTER","220024","MA","READM-30-AMI-HRRP","117","","0.9422","19.5","20.7","20","07/01/2009","06/30/2012"
"HOLYOKE MEDICAL CENTER","220024","MA","READM-30-HF-HRRP","280","","1.0729","24.3","22.7","72","07/01/2009","06/30/2012"
"HOLYOKE MEDICAL CENTER","220024","MA","READM-30-PN-HRRP","321","","1.0936","19.3","17.6","67","07/01/2009","06/30/2012"
"ANNA JAQUES HOSPITAL","220029","MA","READM-30-AMI-HRRP","54","","1.0598","24.2","22.8","16","07/01/2009","06/30/2012"
"ANNA JAQUES HOSPITAL","220029","MA","READM-30-HF-HRRP","398","","1.0706","25.4","23.7","105","07/01/2009","06/30/2012"
"ANNA JAQUES HOSPITAL","220029","MA","READM-30-PN-HRRP","367","","0.9908","18.1","18.3","66","07/01/2009","06/30/2012"
"WING MEMORIAL HOSPITAL AND MEDICAL CENTER","220030","MA","READM-30-AMI-HRRP","29","","0.9877","19.3","19.5","Too Few To Report","07/01/2009","06/30/2012"
"WING MEMORIAL HOSPITAL AND MEDICAL CENTER","220030","MA","READM-30-HF-HRRP","271","","1.0188","22.9","22.4","63","07/01/2009","06/30/2012"
"WING MEMORIAL HOSPITAL AND MEDICAL CENTER","220030","MA","READM-30-PN-HRRP","293","","1.2064","20.9","17.3","72","07/01/2009","06/30/2012"
"BOSTON MEDICAL CENTER CORPORATION","220031","MA","READM-30-AMI-HRRP","330","","1.2433","22.3","17.9","84","07/01/2009","06/30/2012"
"BOSTON MEDICAL CENTER CORPORATION","220031","MA","READM-30-HF-HRRP","685","","1.0411","24.3","23.4","169","07/01/2009","06/30/2012"
"BOSTON MEDICAL CENTER CORPORATION","220031","MA","READM-30-PN-HRRP","281","","1.0716","19.6","18.3","59","07/01/2009","06/30/2012"
"BEVERLY HOSPITAL CORPORATION","220033","MA","READM-30-AMI-HRRP","229","","1.0611","22.3","21.0","54","07/01/2009","06/30/2012"
"BEVERLY HOSPITAL CORPORATION","220033","MA","READM-30-HF-HRRP","689","","0.9033","20.7","22.9","137","07/01/2009","06/30/2012"
"BEVERLY HOSPITAL CORPORATION","220033","MA","READM-30-PN-HRRP","618","","0.9644","16.3","16.9","99","07/01/2009","06/30/2012"
"NORTH SHORE MEDICAL CENTER","220035","MA","READM-30-AMI-HRRP","337","","0.9582","16.6","17.3","54","07/01/2009","06/30/2012"
"NORTH SHORE MEDICAL CENTER","220035","MA","READM-30-HF-HRRP","1006","","0.8723","20.0","23.0","194","07/01/2009","06/30/2012"
"NORTH SHORE MEDICAL CENTER","220035","MA","READM-30-PN-HRRP","863","","0.9163","15.9","17.3","132","07/01/2009","06/30/2012"
"ST ELIZABETH'S MEDICAL CENTER","220036","MA","READM-30-AMI-HRRP","366","","1.1018","21.1","19.2","82","07/01/2009","06/30/2012"
"ST ELIZABETH'S MEDICAL CENTER","220036","MA","READM-30-HF-HRRP","522","","1.0198","23.4","22.9","123","07/01/2009","06/30/2012"
"ST ELIZABETH'S MEDICAL CENTER","220036","MA","READM-30-PN-HRRP","275","","1.1144","19.2","17.2","59","07/01/2009","06/30/2012"
"BERKSHIRE MEDICAL CENTER INC","220046","MA","READM-30-AMI-HRRP","152","","1.0419","21.7","20.8","35","07/01/2009","06/30/2012"
