"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"OR","How often did staff explain about medicines before giving them to patients?","Staff usually explained",20
"OR","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"OR","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"OR","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"OR","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",52
"OR","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",13
"OR","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",35
"OR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",70
"OR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"OR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",21
"OR","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"OR","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"OR","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4
"OR","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",70
"OR","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",26
"PA","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",11
"PA","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"PA","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",62
"PA","How often did doctors communicate well with patients?","Doctors always communicated well",78
"PA","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"PA","How often did doctors communicate well with patients?","Doctors usually communicated well",17
"PA","How often did nurses communicate well with patients?","Nurses always communicated well",74
"PA","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",6
"PA","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"PA","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",61
"PA","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",12
"PA","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"PA","How often did staff explain about medicines before giving them to patients?","Staff always explained",57
"PA","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",24
"PA","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"PA","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
